shared name	Human Readable Label	Xref ID	Xref
Q96PM5	RCHY1	GO:0005654|R-HSA-110320|R-HSA-983168|GO:0005829|GO:0002039|GO:0016567|GO:0042803|NP_001265465.1|NP_001265466.1|NP_001265467.1|ENSP00000321239|ENSP00000370220|ENSP00000421084|ENSP00000423976|ENSP00000424472|ENSP00000424631|ENST00000324439|ENST00000380840|ENST00000505105|ENST00000507014|ENST00000512706|ENST00000513257|GO:0005737|GO:0000151|GO:0004842|GO:0008270|GO:0032436|GO:0031398|GO:0051865|GO:0042787|NP_001009922.1|NP_056251.2|ENSG00000163743|IPR004039|IPR008913|IPR017921|IPR001841|IPR013083|2JRJ|2K2C|2K2D|GO:0016607|GO:0005634|GO:0070987|25898	nucleoplasm|cytosol|p53 binding|protein ubiquitination|protein homodimerization activity|cytoplasm|ubiquitin ligase complex|ubiquitin-protein transferase activity|zinc ion binding|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|positive regulation of protein ubiquitination|protein autoubiquitination|protein ubiquitination involved in ubiquitin-dependent protein catabolic process|Rubredoxin-type F|Zinc finger, CHY-type|Zinc finger, RING-type|Zinc finger, RING/FYVE/PHD-type|nuclear speck|nucleus|error-free translesion synthesis|identity
Q8WWV6	FCAMR	GO:0002250|ENST00000400962|ENST00000450945|GO:0016021|GO:0005886|NP_001116451.1|NP_114418.2|IPR007110|IPR013783|IPR003599|IPR013106|ENSG00000162897|ENSP00000383746|ENSP00000392707|GO:0050900|R-HSA-202733|83953	adaptive immune response|integral component of membrane|plasma membrane|Immunoglobulin-like|Immunoglobulin-like fold|Immunoglobulin subtype|Immunoglobulin V-set|leukocyte migration|identity
P23396	RPS3	GO:0051301|4V6X|GO:0005730|GO:0005743|GO:0006281|GO:0006351|GO:0007067|5FLX|R-HSA-2408557|NP_001247435.1|GO:0003723|GO:0005759|GO:0005886|4UG0|R-HSA-156827|R-HSA-156902|R-HSA-1799339|R-HSA-192823|R-HSA-72649|R-HSA-72689|R-HSA-72695|R-HSA-72702|R-HSA-72706|R-HSA-72764|R-HSA-975956|R-HSA-975957|GO:0006979|GO:0007059|GO:0008017|GO:0008134|GO:0010628|GO:0015631|GO:0017148|GO:0030544|GO:0031116|GO:0032183|GO:0042769|GO:0042981|GO:0043507|GO:0044390|GO:0051225|GO:0051879|GO:0061481|GO:0070301|GO:0072686|GO:1901224|GO:1902231|GO:2001272|GO:0003677|GO:0004520|GO:0005840|GO:0005844|GO:0019900|GO:0031397|GO:0032079|GO:0032357|GO:0032358|GO:0045739|GO:0070181|GO:0097100|GO:0005783|5T2C|GO:0006915|GO:0031012|5A2Q|GO:0005737|GO:0005829|GO:0006412|GO:0019899|GO:0019901|GO:0030529|GO:0051018|GO:2001235|ENST00000278572|ENST00000524851|ENST00000527446|ENST00000531188|ENSG00000149273|ENSP00000278572|ENSP00000433821|ENSP00000434643|ENSP00000436971|5AJ0|GO:0070062|GO:0005925|GO:0016020|GO:0000184|GO:0006614|GO:0005654|GO:0006355|GO:0006364|GO:1905053|R-HSA-6791226|NP_001243731.1|NP_001247436.1|GO:1902546|GO:0022627|GO:0005634|GO:0032587|GO:0003684|GO:0003906|GO:0051536|GO:0003729|GO:0003735|GO:0045738|GO:0006974|GO:0006413|GO:0019083|NP_000996.2|IPR015946|IPR009019|IPR004044|IPR001351|IPR018280|IPR005703|1WH9	cell division|nucleolus|mitochondrial inner membrane|DNA repair|transcription, DNA-templated|RNA binding|mitochondrial matrix|plasma membrane|response to oxidative stress|chromosome segregation|microtubule binding|transcription factor binding|positive regulation of gene expression|tubulin binding|negative regulation of translation|Hsp70 protein binding|positive regulation of microtubule polymerization|SUMO binding|DNA damage response, detection of DNA damage|regulation of apoptotic process|positive regulation of JUN kinase activity|ubiquitin-like protein conjugating enzyme binding|spindle assembly|Hsp90 protein binding|response to TNF agonist|cellular response to hydrogen peroxide|mitotic spindle|positive regulation of NIK/NF-kappaB signaling|positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage|positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis|DNA binding|endodeoxyribonuclease activity|ribosome|polysome|kinase binding|negative regulation of protein ubiquitination|positive regulation of endodeoxyribonuclease activity|oxidized purine DNA binding|oxidized pyrimidine DNA binding|positive regulation of DNA repair|small ribosomal subunit rRNA binding|supercoiled DNA binding|endoplasmic reticulum|apoptotic process|extracellular matrix|cytoplasm|cytosol|translation|enzyme binding|protein kinase binding|intracellular ribonucleoprotein complex|protein kinase A binding|positive regulation of apoptotic signaling pathway|extracellular exosome|focal adhesion|membrane|nuclear-transcribed mRNA catabolic process, nonsense-mediated decay|SRP-dependent cotranslational protein targeting to membrane|nucleoplasm|regulation of transcription, DNA-templated|rRNA processing|positive regulation of base-excision repair|positive regulation of DNA N-glycosylase activity|cytosolic small ribosomal subunit|nucleus|ruffle membrane|damaged DNA binding|DNA|iron-sulfur cluster binding|mRNA binding|structural constituent of ribosome|negative regulation of DNA repair|cellular response to DNA damage stimulus|translational initiation|viral transcription|K homology-like, alpha/beta|K Homology, prokaryotic type|K Homology, type 2|Ribosomal protein S3, C-terminal|Ribosomal protein S3, eukaryotic/archaeal
P63279	UBE2I	GO:0051301|GO:1990234|GO:0061656|GO:1903755|IPR027230|4Y1L|5F6D|5F6E|5F6U|5F6V|5F6W|5F6X|5F6Y|5D2M|GO:0070911|R-HSA-5693565|R-HSA-5693607|R-HSA-5696395|4W5V|R-HSA-3232118|R-HSA-4551638|R-HSA-4570464|R-HSA-4615885|GO:0005635|GO:0005829|R-HSA-8866904|XP_016879129.1|GO:0043123|R-HSA-1221632|R-HSA-3065678|R-HSA-3108214|5FQ2|GO:1990356|GO:0005634|GO:0005654|GO:0006464|GO:0008134|GO:0019899|GO:0045892|GO:0071535|2GRN|2GRO|2GRP|2GRQ|2GRR|2O25|2PE6|2PX9|2XWU|3A4S|ENST00000325437|ENST00000355803|ENST00000397514|ENST00000397515|ENST00000403747|ENST00000406620|ENST00000566587|ENSP00000324897|ENSP00000348056|ENSP00000380649|ENSP00000380650|ENSP00000384568|ENSP00000385009|ENSP00000457064|GO:0003723|3UIN|3UIO|3UIP|GO:0019789|GO:0006511|GO:0016032|GO:0000122|GO:0005737|GO:0016605|GO:0000795|GO:0005524|GO:0007059|GO:0007067|GO:0016925|NP_003336.1|NP_919235.1|NP_919236.1|NP_919237.1|ENSG00000103275|IPR000608|IPR023313|IPR016135|1A3S|1KPS|1Z5Q|1Z5S|7329	cell division|transferase complex|SUMO conjugating enzyme activity|positive regulation of SUMO transferase activity|global genome nucleotide-excision repair|nuclear envelope|cytosol|positive regulation of I-kappaB kinase/NF-kappaB signaling|sumoylated E2 ligase complex|nucleus|nucleoplasm|cellular protein modification process|transcription factor binding|enzyme binding|negative regulation of transcription, DNA-templated|RING-like zinc finger domain binding|RNA binding|SUMO transferase activity|ubiquitin-dependent protein catabolic process|viral process|negative regulation of transcription from RNA polymerase II promoter|cytoplasm|PML body|synaptonemal complex|ATP binding|chromosome segregation|protein sumoylation|Ubiquitin-conjugating enzyme, E2|Ubiquitin-conjugating enzyme/RWD-like|identity
P18283	GPX2	GO:0000302|GO:0005829|GO:0005737|GO:0009055|GO:0004602|NP_002074.2|IPR000889|IPR012336|2HE3|ENST00000389614|GO:0070062|ENSG00000176153|ENSP00000374265|IPR029759|IPR029760|R-HSA-2142688|R-HSA-2142712|R-HSA-2142770|R-HSA-3299685|R-HSA-5628897|2877	response to reactive oxygen species|cytosol|cytoplasm|electron carrier activity|glutathione peroxidase activity|Glutathione peroxidase|Thioredoxin-like fold|extracellular exosome|identity
Q9NZN9	AIPL1	IPR019734|ENST00000250087|ENST00000381129|ENST00000570466|ENST00000576307|ENST00000576776|ENSP00000250087|ENSP00000370521|ENSP00000459522|ENSP00000460827|ENSP00000461287|IPR031209|NP_001272328.1|NP_001272332.1|IPR001179|IPR013026|IPR011990|GO:0005737|GO:0005634|GO:0001917|GO:0001918|GO:0051082|GO:0043066|GO:0007603|GO:0018343|GO:0030823|GO:0001895|GO:0007601|NP_001028226.1|NP_001028227.1|NP_055151.3|ENSG00000129221|NP_001272329.1|NP_001272330.1|23746	Peptidyl-prolyl cis-trans isomerase, FKBP-type|Tetratricopeptide region|Tetratricopeptide-like helical|cytoplasm|nucleus|photoreceptor inner segment|farnesylated protein binding|unfolded protein binding|negative regulation of apoptotic process|phototransduction, visible light|protein farnesylation|regulation of cGMP metabolic process|retina homeostasis|visual perception|identity
Q9BQE3	TUBA1C	R-HSA-6807878|R-HSA-6811434|R-HSA-6811436|R-HSA-8852276|GO:0005737|GO:0015630|GO:0005634|ENST00000301072|R-HSA-1445148|R-HSA-190840|R-HSA-190861|R-HSA-2132295|R-HSA-2467813|R-HSA-2500257|R-HSA-380320|R-HSA-389957|R-HSA-389960|R-HSA-389977|R-HSA-437239|R-HSA-5610787|R-HSA-5617833|R-HSA-5620924|R-HSA-5626467|R-HSA-5663220|R-HSA-68877|R-HSA-983189|GO:0005525|GO:0003924|GO:0005198|GO:0051301|GO:0030705|NP_116093.1|IPR002452|IPR008280|IPR000217|IPR018316|IPR023123|IPR017975|IPR003008|ENSG00000167553|ENSP00000301072|GO:0031982|GO:0005874|GO:0007017|GO:0005200	cytoplasm|microtubule cytoskeleton|nucleus|GTP binding|GTPase activity|structural molecule activity|cell division|cytoskeleton-dependent intracellular transport|Alpha tubulin|Tubulin/FtsZ, C-terminal|Tubulin|Tubulin/FtsZ, GTPase|vesicle|microtubule|microtubule-based process|structural constituent of cytoskeleton|identity
Q9Y3D9	MRPS23	GO:0005743|GO:0070125|GO:0070126|GO:0003723|ENST00000313608|R-HSA-5368286|R-HSA-5389840|R-HSA-5419276|ENSG00000181610|ENSP00000320184|3J9M|GO:0005739|GO:0005840|GO:0003735|NP_057154.2|IPR023611|IPR019520|GO:0031965|GO:0045111|Q9Y3D9	mitochondrial inner membrane|mitochondrial translational elongation|mitochondrial translational termination|RNA binding|mitochondrion|ribosome|structural constituent of ribosome|nuclear membrane|intermediate filament cytoskeleton|identity
P20674	COX5A	GO:0005751|GO:0006123|R-HSA-5628897|R-HSA-611105|ENST00000322347|ENST00000564811|GO:0070062|ENSG00000178741|ENSP00000317780|ENSP00000456386|GO:0005743|GO:0004129|GO:0009055|GO:0046872|NP_004246.2|IPR003204|GO:0043209	mitochondrial respiratory chain complex IV|mitochondrial electron transport, cytochrome c to oxygen|extracellular exosome|mitochondrial inner membrane|cytochrome-c oxidase activity|electron carrier activity|metal ion binding|Cytochrome c oxidase, subunit Va|myelin sheath
Q6FGD7	TBCA	GO:0007023|GO:0007021|NP_004598.1|IPR004226|GO:0005730|GO:0015630	post-chaperonin tubulin folding pathway|tubulin complex assembly|Tubulin binding cofactor A|nucleolus|microtubule cytoskeleton
P63162	SNRPN	GO:0003723|R-HSA-72163|GO:0005654|5MF9|NP_005669.2|ENST00000346403|ENST00000390687|ENST00000400097|ENST00000400100|ENST00000577565|ENSP00000306223|ENSP00000375105|ENSP00000382969|ENSP00000382972|ENSP00000463458|GO:0030532|GO:0005681|GO:0008380|NP_003088.1|NP_073716.1|NP_073717.1|NP_073718.1|NP_073719.1|ENSG00000128739|IPR010920|IPR001163|IPR017131|ENSP00000452342|ENST00000554227|GO:0000398|GO:0005682|GO:0005687|GO:0005737|GO:0046540|GO:0071004|GO:0071013|GO:0005685|GO:0005686|GO:0009725	RNA binding|nucleoplasm|small nuclear ribonucleoprotein complex|spliceosomal complex|RNA splicing|Like-Sm ribonucleoprotein-related, core|Like-Sm ribonucleoprotein, core|Small ribonucleoprotein associated, SmB/SmN|mRNA splicing, via spliceosome|U5 snRNP|U4 snRNP|cytoplasm|U4/U6 x U5 tri-snRNP complex|U2-type prespliceosome|catalytic step 2 spliceosome|U1 snRNP|U2 snRNP|response to hormone
P09661	SNRPA1	GO:0030620|R-HSA-72163|GO:0003723|GO:0016607|ENST00000254193|GO:0005681|GO:0008380|GO:0030532|IPR032675|ENSG00000131876|ENSP00000254193|GO:0071013|GO:0005654|GO:0005686|GO:0000398|NP_003081.2|IPR001611|IPR003603|1A9N	U2 snRNA binding|RNA binding|nuclear speck|spliceosomal complex|RNA splicing|small nuclear ribonucleoprotein complex|catalytic step 2 spliceosome|nucleoplasm|U2 snRNP|mRNA splicing, via spliceosome|Leucine-rich repeat|U2A'/phosphoprotein 32 family A, C-terminal
O43809	NUDT21	IPR015797|R-HSA-109688|R-HSA-72163|R-HSA-72187|R-HSA-77595|GO:0005815|GO:0003723|GO:0016604|GO:0042802|GO:0005634|GO:0005654|GO:0006397|GO:0031124|GO:0042803|GO:0042826|ENST00000300291|ENSG00000167005|ENSP00000300291|GO:0005813|GO:0005849|GO:0042382|GO:0017091|GO:0016787|GO:0003729|GO:0006378|GO:0000398|GO:0051262|GO:0006369|NP_008937.1|IPR016706|IPR000086|2CL3|2J8Q|3BAP|3BHO|3MDG|3MDI|3N9U|3P5T|3P6Y|3Q2S|3Q2T	NUDIX|microtubule organizing center|RNA binding|nuclear body|identical protein binding|nucleus|nucleoplasm|mRNA processing|mRNA 3'-end processing|protein homodimerization activity|histone deacetylase binding|centrosome|mRNA cleavage factor complex|paraspeckles|AU-rich element binding|hydrolase activity|mRNA binding|mRNA polyadenylation|mRNA splicing, via spliceosome|protein tetramerization|termination of RNA polymerase II transcription|Cleavage and polyadenylation specificity factor, 25 kDa subunit|NUDIX hydrolase, core
P41182	BCL6	XP_005247751.1|4U2M|R-HSA-6803205|GO:0005654|GO:0042981|GO:0042127|GO:0005794|R-HSA-6785807|GO:0001161|GO:0006351|GO:0043087|XP_011511364.1|GO:0042802|4CP3|GO:0045892|GO:0050776|GO:2000773|GO:0000977|GO:0001227|ENSP00000479784|ENST00000621333|ENSG00000113916|ENSP00000232014|ENSP00000384371|ENSP00000413122|5H7G|5H7H|GO:0031065|GO:0045666|GO:0045746|GO:0000902|GO:0001953|GO:0002467|GO:0003682|GO:0007266|GO:0007283|GO:0008285|GO:0030036|GO:0030183|GO:0030890|GO:0031490|GO:0032764|GO:0035024|GO:0042092|GO:0043380|GO:0045629|GO:0048294|GO:0048821|GO:0050727|GO:0051272|GO:0006954|ENST00000232014|ENST00000406870|ENST00000450123|GO:0005634|GO:0043565|GO:0003700|GO:0002903|GO:0030308|GO:0000122|GO:0043065|GO:0000060|GO:0002634|GO:0006974|NP_001124317.1|NP_001128210.1|NP_001697.2|IPR000210|IPR011333|IPR007087|IPR015880|IPR013087|1R28|1R29|1R2B|2EN2|2EOS|2LCE|2YRM|3BIM|3E4U|3LBZ|GO:0046872|604	nucleoplasm|regulation of apoptotic process|regulation of cell proliferation|Golgi apparatus|intronic transcription regulatory region sequence-specific DNA binding|transcription, DNA-templated|regulation of GTPase activity|identical protein binding|negative regulation of transcription, DNA-templated|regulation of immune response|negative regulation of cellular senescence|RNA polymerase II regulatory region sequence-specific DNA binding|transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding|positive regulation of histone deacetylation|positive regulation of neuron differentiation|negative regulation of Notch signaling pathway|cell morphogenesis|negative regulation of cell-matrix adhesion|germinal center formation|chromatin binding|Rho protein signal transduction|spermatogenesis|negative regulation of cell proliferation|actin cytoskeleton organization|B cell differentiation|positive regulation of B cell proliferation|chromatin DNA binding|negative regulation of mast cell cytokine production|negative regulation of Rho protein signal transduction|type 2 immune response|regulation of memory T cell differentiation|negative regulation of T-helper 2 cell differentiation|negative regulation of isotype switching to IgE isotypes|erythrocyte development|regulation of inflammatory response|positive regulation of cellular component movement|inflammatory response|nucleus|sequence-specific DNA binding|transcription factor activity, sequence-specific DNA binding|negative regulation of B cell apoptotic process|negative regulation of cell growth|negative regulation of transcription from RNA polymerase II promoter|positive regulation of apoptotic process|protein import into nucleus, translocation|regulation of germinal center formation|cellular response to DNA damage stimulus|BTB/POZ-like|BTB/POZ fold|Zinc finger, C2H2-type|Zinc finger, C2H2-like|Zinc finger, C2H2-type/integrase, DNA-binding|metal ion binding|identity
P31939	ATIC	GO:0005829|GO:0003937|GO:0004643|GO:0009168|NP_004035.2|IPR024051|IPR024050|IPR002695|IPR016193|IPR011607|1P4R|1PKX|1PL0|GO:0003360|GO:0009116|GO:0010035|GO:0021549|GO:0021987|GO:0046452|GO:0046654|R-HSA-73817|GO:0006139|GO:0042803|GO:0016020|GO:0005739|GO:0006189|GO:0031100|ENST00000236959|ENST00000435675|GO:0070062|GO:0045296|ENSG00000138363|ENSP00000236959|ENSP00000415935	cytosol|IMP cyclohydrolase activity|phosphoribosylaminoimidazolecarboxamide formyltransferase activity|purine ribonucleoside monophosphate biosynthetic process|AICARFT/IMPCHase bienzyme|Cytidine deaminase-like|MGS-like|brainstem development|nucleoside metabolic process|response to inorganic substance|cerebellum development|cerebral cortex development|dihydrofolate metabolic process|tetrahydrofolate biosynthetic process|nucleobase-containing compound metabolic process|protein homodimerization activity|membrane|mitochondrion|'de novo' IMP biosynthetic process|animal organ regeneration|extracellular exosome|cadherin binding
Q92769	HDAC2	GO:0005737|GO:0035098|GO:0016581|GO:0016580|GO:0003682|GO:0032041|GO:0043565|GO:0007596|GO:0006338|GO:0016358|GO:0042733|GO:0009913|GO:0061029|GO:0061198|GO:0060789|GO:0032496|GO:0032732|GO:0032760|GO:0035094|GO:0042517|GO:0043392|GO:0048149|GO:0055093|GO:0061000|GO:0070301|GO:0071300|GO:0071560|GO:1903351|GO:2000757|XP_011534090.1|GO:1901796|R-HSA-427389|R-HSA-6804758|GO:0003723|5IWG|5IX0|XP_016866288.1|GO:0048714|4LXZ|4LY1|GO:0001975|GO:0003300|GO:0010718|GO:0006344|GO:0043066|GO:0045347|GO:0010977|GO:0043433|GO:0000122|GO:0042475|GO:0008284|GO:0032967|GO:0045862|GO:0010870|GO:0045944|NP_001518.3|IPR000286|IPR003084|IPR023801|3MAX|GO:0031000|R-HSA-73762|GO:0000790|GO:0043044|GO:0043234|ENST00000519065|GO:0001047|GO:0034605|GO:0042220|GO:0042493|ENSP00000430008|ENST00000519108|GO:0019213|GO:0032922|GO:0070932|GO:0070933|ENSG00000196591|ENSP00000430432|R-HSA-193670|R-HSA-2122947|R-HSA-2644606|R-HSA-2894862|R-HSA-3214815|R-HSA-427413|R-HSA-983231|GO:0006351|GO:0051059|ENSP00000357621|ENST00000368632|GO:0004407|GO:0001103|GO:0005634|GO:0005654|GO:0008134|GO:0016575|GO:0019899|GO:0033558|GO:0045892|GO:0045893|Q92769|3066	cytoplasm|ESC/|NuRD complex|Sin3 complex|chromatin binding|NAD-dependent histone deacetylase activity|sequence-specific DNA binding|blood coagulation|chromatin remodeling|dendrite development|embryonic digit morphogenesis|epidermal cell differentiation|eyelid development in camera-type eye|fungiform papilla formation|hair follicle placode formation|response to lipopolysaccharide|positive regulation of interleukin-1 production|positive regulation of tumor necrosis factor production|response to nicotine|positive regulation of tyrosine phosphorylation of Stat3 protein|negative regulation of DNA binding|behavioral response to ethanol|response to hyperoxia|negative regulation of dendritic spine development|cellular response to hydrogen peroxide|cellular response to retinoic acid|cellular response to transforming growth factor beta stimulus|cellular response to dopamine|negative regulation of peptidyl-lysine acetylation|regulation of signal transduction by p53 class mediator|RNA binding|positive regulation of oligodendrocyte differentiation|response to amphetamine|cardiac muscle hypertrophy|positive regulation of epithelial to mesenchymal transition|maintenance of chromatin silencing|negative regulation of apoptotic process|negative regulation of MHC class II biosynthetic process|negative regulation of neuron projection development|negative regulation of sequence-specific DNA binding transcription factor activity|negative regulation of transcription from RNA polymerase II promoter|odontogenesis of dentin-containing tooth|positive regulation of cell proliferation|positive regulation of collagen biosynthetic process|positive regulation of proteolysis|positive regulation of receptor biosynthetic process|positive regulation of transcription from RNA polymerase II promoter|Histone deacetylase superfamily|Histone deacetylase|response to caffeine|nuclear chromatin|ATP-dependent chromatin remodeling|protein complex|core promoter binding|cellular response to heat|response to cocaine|response to drug|deacetylase activity|circadian regulation of gene expression|histone H3 deacetylation|histone H4 deacetylation|transcription, DNA-templated|NF-kappaB binding|histone deacetylase activity|RNA polymerase II repressing transcription factor binding|nucleus|nucleoplasm|transcription factor binding|histone deacetylation|enzyme binding|protein deacetylase activity|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|identity
Q8IUC4	RHPN2	GO:0007165|R-HSA-5666185|GO:0005829|GO:0048471|NP_149094.3|IPR004328|IPR011072|IPR001478|2VSV|ENST00000254260|ENSG00000131941|ENSP00000254260	signal transduction|cytosol|perinuclear region of cytoplasm|BRO1|HR1 rho-binding repeat|PDZ/DHR/GLGF
P55774	CCL18	ENSG00000278006|ENSP00000483347|ENST00000615723|GO:0006935|GO:0007154|4MHE|ENSG00000275385|ENSP00000479955|ENST00000616054|ENSG00000278167|ENSP00000483144|ENST00000614828|GO:0002548|GO:0007186|GO:0030593|GO:0043547|GO:0048020|GO:0048247|GO:0070098|GO:0070374|GO:0071346|GO:0071347|GO:0071356|GO:0008009|GO:0005615|GO:0007267|GO:0006955|GO:0006954|GO:0009607|GO:0007165|NP_002979.1|IPR000827|IPR001811	chemotaxis|cell communication|monocyte chemotaxis|G-protein coupled receptor signaling pathway|neutrophil chemotaxis|positive regulation of GTPase activity|CCR chemokine receptor binding|lymphocyte chemotaxis|chemokine-mediated signaling pathway|positive regulation of ERK1 and ERK2 cascade|cellular response to interferon-gamma|cellular response to interleukin-1|cellular response to tumor necrosis factor|chemokine activity|extracellular space|cell-cell signaling|immune response|inflammatory response|response to biotic stimulus|signal transduction|Small chemokine, C-C group, conserved site|Small chemokine, interleukin-8-like
P39019	RPS19	4V6X|GO:0000462|GO:0002548|GO:0007000|GO:0042803|GO:0051262|GO:0060265|GO:0060266|5FLX|R-HSA-2408557|4UG0|R-HSA-156827|R-HSA-156902|R-HSA-1799339|R-HSA-192823|R-HSA-72649|R-HSA-72689|R-HSA-72695|R-HSA-72702|R-HSA-72706|R-HSA-72764|R-HSA-975956|R-HSA-975957|GO:0003723|5T2C|GO:0031012|IPR011991|5AJ0|GO:0005737|GO:0005829|GO:0005840|GO:0006364|GO:0006412|GO:0017134|GO:0019901|GO:0030490|GO:0042274|GO:0007219|5A2Q|GO:0005925|ENSG00000105372|ENSP00000470004|ENSP00000470972|GO:0005654|R-HSA-6791226|NP_001308412.1|NP_001308413.1|GO:0070062|GO:0000028|GO:0016020|ENST00000593863|ENST00000598742|GO:0000184|GO:0006413|GO:0006614|GO:0022627|GO:0005730|GO:0003735|GO:0030218|GO:0051272|GO:0009991|GO:0019083|NP_001013.1|IPR001266|IPR018277	maturation of SSU-rRNA from tricistronic rRNA transcript|monocyte chemotaxis|nucleolus organization|protein homodimerization activity|protein tetramerization|positive regulation of respiratory burst involved in inflammatory response|negative regulation of respiratory burst involved in inflammatory response|RNA binding|extracellular matrix|Winged helix repressor DNA-binding|cytoplasm|cytosol|ribosome|rRNA processing|translation|fibroblast growth factor binding|protein kinase binding|maturation of SSU-rRNA|ribosomal small subunit biogenesis|Notch signaling pathway|focal adhesion|nucleoplasm|extracellular exosome|ribosomal small subunit assembly|membrane|nuclear-transcribed mRNA catabolic process, nonsense-mediated decay|translational initiation|SRP-dependent cotranslational protein targeting to membrane|cytosolic small ribosomal subunit|nucleolus|structural constituent of ribosome|erythrocyte differentiation|positive regulation of cellular component movement|response to extracellular stimulus|viral transcription|Ribosomal protein S19e
Q13404	UBE2V1	GO:0006301|GO:0031625|GO:0061630|GO:0000187|GO:0005654|GO:0007254|R-HSA-445989|R-HSA-450302|R-HSA-450321|GO:0038095|GO:0000209|GO:0005737|GO:0006355|GO:0031371|ENST00000340309|ENST00000371657|ENST00000371674|ENST00000371677|ENST00000415862|R-HSA-168638|R-HSA-202424|R-HSA-2871837|R-HSA-446652|R-HSA-5607764|R-HSA-937039|R-HSA-937041|R-HSA-975110|R-HSA-975144|R-HSA-983168|GO:0070062|GO:0002223|GO:0043234|ENSG00000244687|ENSP00000340305|ENSP00000360720|ENSP00000360739|ENSP00000360742|ENSP00000407770|NP_001244322.1|NP_001244323.1|NP_001244325.1|GO:0005829|GO:0005634|GO:0035370|GO:0000151|GO:0030154|GO:0070423|GO:0043123|GO:0051092|GO:0045893|GO:0070534|GO:0006282|GO:0050852|NP_001027459.1|NP_068823.2|NP_071887.1|NP_954595.1|NP_954673.1|IPR000608|IPR016135|2A4D|2C2V|2HLW	postreplication repair|ubiquitin protein ligase binding|ubiquitin protein ligase activity|activation of MAPK activity|nucleoplasm|JNK cascade|Fc-epsilon receptor signaling pathway|protein polyubiquitination|cytoplasm|regulation of transcription, DNA-templated|ubiquitin conjugating enzyme complex|extracellular exosome|stimulatory C-type lectin receptor signaling pathway|protein complex|cytosol|nucleus|UBC13-UEV1A complex|ubiquitin ligase complex|cell differentiation|nucleotide-binding oligomerization domain containing signaling pathway|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of NF-kappaB transcription factor activity|positive regulation of transcription, DNA-templated|protein K63-linked ubiquitination|regulation of DNA repair|T cell receptor signaling pathway|Ubiquitin-conjugating enzyme, E2|Ubiquitin-conjugating enzyme/RWD-like
P16949	STMN1	GO:0015631|GO:0005737|GO:0031175|GO:0043005|GO:0051493|GO:0000281|GO:0007165|ENST00000357865|ENST00000374291|ENST00000399728|ENST00000426559|ENST00000455785|ENSP00000350531|ENSP00000363409|ENSP00000382633|ENSP00000387858|ENSP00000410452|GO:0070062|IPR030514|GO:0005829|GO:0007409|GO:0031115|GO:0051272|GO:0007420|GO:0016020|GO:0005622|GO:0005874|GO:0004871|GO:0035556|GO:0007019|GO:0007052|GO:0009615|NP_001138926.1|NP_005554.1|NP_981944.1|NP_981946.1|ENSG00000117632|IPR000956	tubulin binding|cytoplasm|neuron projection development|neuron projection|regulation of cytoskeleton organization|mitotic cytokinesis|signal transduction|extracellular exosome|cytosol|axonogenesis|negative regulation of microtubule polymerization|positive regulation of cellular component movement|brain development|membrane|intracellular|microtubule|signal transducer activity|intracellular signal transduction|microtubule depolymerization|mitotic spindle organization|response to virus|Stathmin
P62081	RPS7	4V6X|GO:0001843|GO:0030154|GO:0005815|4UG0|R-HSA-156827|R-HSA-156902|R-HSA-1799339|R-HSA-192823|R-HSA-72649|R-HSA-72689|R-HSA-72695|R-HSA-72702|R-HSA-72706|R-HSA-72764|R-HSA-975956|R-HSA-975957|5FLX|R-HSA-2408557|5T2C|GO:0031012|5AJ0|GO:0005634|GO:0005829|GO:0005840|GO:0006412|GO:0030529|5A2Q|GO:0005925|GO:0005654|R-HSA-6790901|R-HSA-6791226|GO:0070062|ENSG00000171863|ENSP00000339095|ENSP00000385018|ENSP00000385286|GO:0000184|GO:0006413|GO:0006614|GO:0016020|ENST00000304921|ENST00000403564|ENST00000406376|GO:0022627|GO:0005730|GO:0003723|GO:0003735|GO:0042274|GO:0006364|GO:0019083|NP_001002.1|IPR000554|6201	neural tube closure|cell differentiation|microtubule organizing center|extracellular matrix|nucleus|cytosol|ribosome|translation|intracellular ribonucleoprotein complex|focal adhesion|nucleoplasm|extracellular exosome|nuclear-transcribed mRNA catabolic process, nonsense-mediated decay|translational initiation|SRP-dependent cotranslational protein targeting to membrane|membrane|cytosolic small ribosomal subunit|nucleolus|RNA binding|structural constituent of ribosome|ribosomal small subunit biogenesis|rRNA processing|viral transcription|Ribosomal protein S7e|identity
